wormbase_gseq,WBGeneID,wikigene_name,status,description
F53C11.7,WBGene00009976,swan-2,lessAbs,unchanged_ELT2_minus
F53C11.8,WBGene00009977,swan-1,lessAbs,unchanged_ELT2_minus
F53E4.1,WBGene00009978,F53E4.1,lessAbs,unchanged_ELT2_minus
F53F1.2,WBGene00009980,F53F1.2,lessAbs,unchanged_ELT2_minus
F53F1.3,WBGene00009981,F53F1.3,lessAbs,unchanged_ELT2_minus
F53F1.6,WBGene00009984,F53F1.6,lessAbs,unchanged_ELT2_minus
F53F4.3,WBGene00009987,tbcb-1,lessAbs,unchanged_ELT2_minus
F53F4.10,WBGene00009992,F53F4.10,lessAbs,unchanged_ELT2_minus
F53F4.11,WBGene00009993,F53F4.11,lessAbs,unchanged_ELT2_minus
F53F4.12,WBGene00009994,F53F4.12,lessAbs,unchanged_ELT2_minus
F53F4.14,WBGene00009996,sde-2,lessAbs,unchanged_ELT2_minus
F53F8.4,WBGene00010001,F53F8.4,lessAbs,unchanged_ELT2_minus
F53F8.5,WBGene00010002,F53F8.5,lessAbs,unchanged_ELT2_minus
F53H2.1,WBGene00010004,F53H2.1,lessAbs,unchanged_ELT2_minus
F53H2.3,WBGene00010006,F53H2.3,lessAbs,unchanged_ELT2_minus
F53H4.3,WBGene00010008,F53H4.3,lessAbs,unchanged_ELT2_minus
F53H4.4,WBGene00010009,F53H4.4,lessAbs,unchanged_ELT2_minus
F53H4.6,WBGene00010011,F53H4.6,lessAbs,unchanged_ELT2_minus
F53H10.2,WBGene00010012,saeg-1,lessAbs,unchanged_ELT2_minus
F54B3.1,WBGene00010013,F54B3.1,lessAbs,unchanged_ELT2_minus
F54B3.3,WBGene00010015,atad-3,lessAbs,unchanged_ELT2_minus
F54B8.3,WBGene00010018,fbxa-69,lessAbs,unchanged_ELT2_minus
F54B11.5,WBGene00010028,F54B11.5,lessAbs,unchanged_ELT2_minus
F54B11.11,WBGene00010034,F54B11.11,less,down_ELT2_minus
F54C8.4,WBGene00010037,F54C8.4,lessAbs,unchanged_ELT2_minus
F54C8.5,WBGene00010038,rheb-1,lessAbs,unchanged_ELT2_minus
F54C8.6,WBGene00010039,F54C8.6,lessAbs,unchanged_ELT2_minus
F54C8.7,WBGene00010040,F54C8.7,lessAbs,unchanged_ELT2_minus
F54C9.6,WBGene00010042,bcs-1,lessAbs,unchanged_ELT2_minus
F54C9.9,WBGene00010044,F54C9.9,lessAbs,unchanged_ELT2_minus
F54C9.11,WBGene00010045,F54C9.11,lessAbs,unchanged_ELT2_minus
F54D1.6,WBGene00010047,F54D1.6,greater,up_ELT2_minus
F54D5.2,WBGene00010048,F54D5.2,greater,up_ELT2_minus
F54D5.3,WBGene00010049,F54D5.3,lessAbs,unchanged_ELT2_minus
F54D5.4,WBGene00010050,F54D5.4,less,down_ELT2_minus
F54D5.5,WBGene00010051,F54D5.5,lessAbs,unchanged_ELT2_minus
F54D5.7,WBGene00010052,F54D5.7,lessAbs,unchanged_ELT2_minus
F54D5.9,WBGene00010053,F54D5.9,greater,up_ELT2_minus
F54D5.11,WBGene00010054,gtf-2E2,lessAbs,unchanged_ELT2_minus
F54D5.12,WBGene00010055,F54D5.12,lessAbs,unchanged_ELT2_minus
F54D5.14,WBGene00010056,smc-6,lessAbs,unchanged_ELT2_minus
F54D5.15,WBGene00010057,F54D5.15,lessAbs,unchanged_ELT2_minus
F54F3.3,WBGene00010062,lipl-1,lessAbs,unchanged_ELT2_minus
F54F11.2,WBGene00010070,nep-17,lessAbs,unchanged_ELT2_minus
F55A11.1,WBGene00010075,F55A11.1,lessAbs,unchanged_ELT2_minus
F55A11.4,WBGene00010077,F55A11.4,greater,up_ELT2_minus
F55A11.6,WBGene00010079,F55A11.6,lessAbs,unchanged_ELT2_minus
F55A11.7,WBGene00010080,F55A11.7,lessAbs,unchanged_ELT2_minus
F55B11.1,WBGene00010083,xdh-1,lessAbs,unchanged_ELT2_minus
F55B12.2,WBGene00010088,F55B12.2,lessAbs,unchanged_ELT2_minus
F55B12.4,WBGene00010089,hpo-31,lessAbs,unchanged_ELT2_minus
F55C5.4,WBGene00010093,capg-2,lessAbs,unchanged_ELT2_minus
F55C5.5,WBGene00010094,tsfm-1,lessAbs,unchanged_ELT2_minus
F55C5.7,WBGene00010096,rskd-1,lessAbs,unchanged_ELT2_minus
F55C5.8,WBGene00010097,srpa-68,lessAbs,unchanged_ELT2_minus
F55F3.1,WBGene00010115,aakb-1,lessAbs,unchanged_ELT2_minus
F55G11.4,WBGene00010124,F55G11.4,less,down_ELT2_minus
F55G11.5,WBGene00010125,dod-22,less,down_ELT2_minus
F55G11.8,WBGene00010128,F55G11.8,less,down_ELT2_minus
F55H2.2,WBGene00010130,vha-14,lessAbs,unchanged_ELT2_minus
F55H2.5,WBGene00010131,F55H2.5,lessAbs,unchanged_ELT2_minus
F55H2.7,WBGene00010132,F55H2.7,lessAbs,unchanged_ELT2_minus
F56A8.3,WBGene00010139,F56A8.3,lessAbs,unchanged_ELT2_minus
F56A8.4,WBGene00010140,F56A8.4,lessAbs,unchanged_ELT2_minus
F56A8.5,WBGene00010141,F56A8.5,lessAbs,unchanged_ELT2_minus
F56C4.3,WBGene00010146,glb-19,less,down_ELT2_minus
F56D5.3,WBGene00010148,F56D5.3,lessAbs,unchanged_ELT2_minus
F56G4.4,WBGene00010159,wbp-4,lessAbs,unchanged_ELT2_minus
F56G4.6,WBGene00010161,F56G4.6,lessAbs,unchanged_ELT2_minus
F56H9.2,WBGene00010174,F56H9.2,lessAbs,unchanged_ELT2_minus
F57A8.1,WBGene00010177,F57A8.1,lessAbs,unchanged_ELT2_minus
F57A8.2,WBGene00010178,yif-1,lessAbs,unchanged_ELT2_minus
F57A8.4,WBGene00010179,F57A8.4,lessAbs,unchanged_ELT2_minus
F57B1.5,WBGene00010188,F57B1.5,lessAbs,unchanged_ELT2_minus
F57B1.6,WBGene00010189,F57B1.6,lessAbs,unchanged_ELT2_minus
F57B7.1,WBGene00010191,dmsr-1,lessAbs,unchanged_ELT2_minus
F57C2.1,WBGene00010193,btb-20,greater,up_ELT2_minus
F57C2.5,WBGene00010197,F57C2.5,lessAbs,unchanged_ELT2_minus
F57C2.6,WBGene00010198,spat-1,lessAbs,unchanged_ELT2_minus
F57C7.1,WBGene00010199,bet-2,lessAbs,unchanged_ELT2_minus
F57E7.1,WBGene00010202,F57E7.1,lessAbs,unchanged_ELT2_minus
F57F5.1,WBGene00010204,cpr-9,lessAbs,unchanged_ELT2_minus
F57G8.5,WBGene00010214,slc-9B.2,lessAbs,unchanged_ELT2_minus
F57G8.6,WBGene00010215,nhr-193,lessAbs,unchanged_ELT2_minus
F57G12.1,WBGene00010221,F57G12.1,lessAbs,unchanged_ELT2_minus
