WBGeneID,altHyp,intestine_expression
WBGene00010328,greater,enriched
WBGene00004408,greater,enriched
WBGene00044644,greater,enriched
WBGene00077770,greater,enriched
WBGene00011936,greater,enriched
WBGene00012948,greater,enriched
WBGene00012961,greater,enriched
WBGene00010825,greater,enriched
WBGene00010822,greater,enriched
WBGene00008787,greater,enriched
WBGene00008785,greater,enriched
WBGene00008163,greater,enriched
WBGene00011657,greater,enriched
WBGene00008477,greater,enriched
WBGene00012216,greater,enriched
WBGene00001008,greater,enriched
WBGene00008564,greater,enriched
WBGene00008565,greater,enriched
WBGene00008566,greater,enriched
WBGene00008567,greater,enriched
WBGene00004196,greater,enriched
WBGene00077684,greater,enriched
WBGene00007656,greater,enriched
WBGene00007660,greater,enriched
WBGene00009061,greater,enriched
WBGene00044707,greater,enriched
WBGene00045458,greater,enriched
WBGene00003585,greater,enriched
WBGene00013594,greater,enriched
WBGene00012235,greater,enriched
WBGene00004475,greater,enriched
WBGene00013513,greater,enriched
WBGene00004875,greater,enriched
WBGene00009824,greater,enriched
WBGene00003980,greater,enriched
WBGene00013690,greater,enriched
WBGene00013693,greater,enriched
WBGene00013197,greater,enriched
WBGene00013203,greater,enriched
WBGene00000088,greater,enriched
WBGene00002189,greater,enriched
WBGene00009369,greater,enriched
WBGene00001177,greater,enriched
WBGene00021412,greater,enriched
WBGene00000022,greater,enriched
